"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp_Manu",0.233606212222315,0.563861222810279,0.0229588638490289,0.0664528724952127,0.369701912284554,0.019256315552196,0.00997450522555888,0.164612252275162,0.124874690614898,0.0397456552071303,0.11426815442619
"accum_prec_Manu",0.0702986217246783,0.0135903980761024,0.0320002846369615,0.0142303453528338,0.003852932566136,0.0153802089302889,0.037543695403529,0.00924706915807645,0.0262052416996774,0.00453125453065613,0.00758173217627491
"NDVI",0.0926684801530438,0.136542145119499,0.0151478504950586,0.0105997081190837,0.0280201275806565,0.00042381438640907,0.0287558359359476,0.00810433719925106,0.00996236044684478,0.0206342235043574,0.00110840426601237
"waterways_dist",0.00277748362846318,0.042520462303976,0.0775709106035187,0.00386386504189812,0.0206507963543115,0.000713936765913071,0.00814369361151832,0.000964911505859242,0.0158260431785838,0.00196118492999698,0.00466881166067716
"sea_dist",0.00614865143842461,0.0055695227792572,0.00703884881397102,0.81852737708844,0.0483430020097686,0.918982183761076,0.00887416295140347,0.0219867538933548,0.001787463495863,0.0251132460063571,0.0985072837991647
"insolation",0.124500677911013,0.00316054700595592,0.00459430441771826,0.00106604055135258,0.0194463948446852,0.000792087912016635,0.0138907566214686,0.0153270123343825,0.0955611260702368,0.0592890210006512,0.0019060478130802
"Random: site",0.0459378137693405,0.231856256401296,0.520579710893881,0.0518124704612457,0.492676801819285,0.023538038599809,0.438431064608171,0.773771845502358,0.27609272776935,0.0336326859385965,0.572823081063544
"Random: id",0.424062059152722,0.00289944550363314,0.320109226289862,0.0334473208899341,0.0173080325406036,0.0209134140922915,0.454386285642403,0.00598581813155571,0.449690346724546,0.815092728882254,0.199136484795057
"TjurR2",0.48598396425975,0.471964332672587,0.233521465507608,0.538219030571627,0.46136703129302,0.619957763344009,0.609333757502957,0.547853151485701,0.452658964203083,0.323509496735587,0.41149659118231
